Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
10242,2135,strap,near complete,light verdigris,TRUE,,,,40,7,,,,,FALSE,,3.41,"flat strap with a 90° bend, stretches to both ends; it's folded into circles: Hinge pivot?",FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10256,2181,strap,fragment,light verdigris,TRUE,,,,49,4,,,,,FALSE,,0.82,,FALSE,S18.4,1700,1740,1700-1740,1690-1750,Pantry
10278,2238,strap,fragment,light verdigris,TRUE,,,,30,5,,,,,FALSE,,1.86,"folded to form two circles, like a ""B"", on purpose or not. Unfolded length something like 90mm",FALSE,S10.1,1700,1740,1700-1740,1690-1750,Kitchen
10292,2275,strap,fragment,light verdigris,TRUE,,,,27,19,,,,,FALSE,,1.55,,FALSE,S6.4,,1890,1890,1870-1900,Millers Workshop
10293,2279,strap,fragment,light verdigris,TRUE,,,,15,10,,,,,FALSE,,0.54,possible hole for rivet visible,FALSE,C.3,1830,1850,1830-1850,1810-1870,Courtyard
18315,2308,strap,fragment,light verdigris,FALSE,,,,12,6,,,,,FALSE,,0.26,originally a double sheet?,FALSE,S18.3,1690,1700,1690-1700,1690-1720,Pantry
10308,2338,strap,fragment,light verdigris,TRUE,,,,18,11,,,,,FALSE,,0.6,weird double bulging sheet,FALSE,S18.3,1690,1700,1690-1700,1690-1720,Pantry
10310,2346,strap,fragment,light verdigris,TRUE,,,,15,2,,,,,FALSE,,0.36,"folded into a ""9""; unfolded length close to 30mm",FALSE,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
10311,2347,strap,fragment,light verdigris,TRUE,,,,29,5,,,,,FALSE,,0.49,,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
10320,2380,strap,near complete,light verdigris,TRUE,,,,33,11,,,,,FALSE,,3.56,could be a rove but it's missing a rivet hole; possibly a thick staple? Bent to each end.,FALSE,S8.2,1750,1800,1750-1800,1750-1810,Nursery/Private Chambers
10334,2398,strap,fragment,light verdigris,TRUE,,,,46,12,,,,,FALSE,,1.98,looks like someone began cutting a piece out of it and then stopped,FALSE,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
10337,2411,strap,fragment,light verdigris,TRUE,,,,28,14,,,,,FALSE,,0.89,in three fragments with one rivethole,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10343,2415,strap,near complete,light verdigris,TRUE,,,,31,6,,,,,FALSE,,0.85,two rivet holes,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
19089,2438,strap,fragment,light verdigris,FALSE,,,,7,11,,,,,FALSE,,0.63,rolled up strap around a piece of wood,FALSE,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
18318,2494,strap,fragment,moderate verdigris,FALSE,,,,17,9,,,,,FALSE,,0.44,,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
13831,2637,strap,fragment,heavy verdigris,FALSE,,,,21,16,,,,,FALSE,,0.4,possible rivet hole at tip; badly preserved,FALSE,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
13844,2650,strap,near complete,light verdigris,FALSE,,,,23,14,,,,,FALSE,,6.79,bent into a half ring but possibly formed a circle originally; very similar to ID 443,FALSE,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16724,2688,strap,complete,light verdigris,TRUE,,,,23,15,,,,,FALSE,,0.8,forms a  (pythagorean-type) triangle,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
14939,2693,strap,near complete,light verdigris,TRUE,,,,38,6,,,,,FALSE,,3.39,rolled up sheet as if to form a tube; real width (if unrolled) closer to 19mm,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
16757,2693,strap,complete,light verdigris,FALSE,,,,23,12,,,,,FALSE,,5.46,"forms a half-ring, very similar to ID 444",FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
13868,2707,strap,near complete,light verdigris,TRUE,,,,19,16,,,,,FALSE,,5.53,rolled up strap; unrolled length close to 70/80 mm. Has two protruding fastening straps attached with holes for rivets,FALSE,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
16693,2815,strap,complete,light verdigris,TRUE,,,,26,7,,,,,FALSE,,1,"some textile/wood attached. Neatly formed, sturdy sheet",FALSE,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
12784,2948,strap,fragment,light verdigris,TRUE,,,,40,32,,,,,FALSE,,4.27,two tiny rivets were attached to this strap but one is free floating in the bag as of now - very easy to miss/lose so open with care,FALSE,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
10391,,strap,fragment,light verdigris,FALSE,,,,23,11,,,,,FALSE,,0.79,looks like an end that's been ripped off a strap; no unit no,FALSE,,,,,,
