Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
5480,1009,3,1.28,1.8,dark green,None,Chipped,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE
5480,1009,2,0.66,1.8,light green,None,Chipped,Straight,,FALSE,,,,,FALSE,slight,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,FALSE
5356,895,1,1.96,2,dark green,Frequent,,Straight,,FALSE,,,,,FALSE,absent,,,,?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5374,913,1,2.17,2.5,dark green,Frequent,,Straight,,FALSE,,,,,FALSE,absent,,,,vessel,,"vessel blown in a mould, no clear sign of reuse as window glass.",,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,894,878,Floor,in situ,TRUE
5396,947,1,1.45,2.5,light green,Frequent,,Straight,,FALSE,,,,,FALSE,slight,,ND,"linear scratch mark, possibly wheel made",?pane,,,,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Floor,in situ,FALSE
5575,1107,1,2.48,3,light green,None,,Straight,,FALSE,,,,,TRUE,slight,,,,?pane,,"fragment possibly burned, could be diamond shaped fragment.",,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,153,878,Fireplace,in situ,FALSE
6522,1058,3,0.1,,,,,,,FALSE,,,,,FALSE,heavy,,,,?pane,,"tiny flat fragments, <1mm thick; possibly comb teeth",,,,S21.1,1650-1690,1650,1690,1630-1690,School Room,878,878,Wall,in situ,FALSE
14342,3011,2,1.3,1,dark green,None,Cut,Straight,,TRUE,diamond/lozenge,,,,FALSE,moderate,,,,pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE
17356,2965,6,2.65,1,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
17397,2981,1,0.32,1.1,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
14287,3003,1,2.22,1.2,light green,None,Cut,Straight,,TRUE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,FALSE
17406,2983,2,0.84,1.5,light green,Occasional,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,moderate,,,,pane,,,,,,S17.1,1670-1690,1670,1690,1660-1690,Meat Store,2953,1680,Floor,in situ,TRUE
